instrument_key,southbound_eligible,as_of_date,source_label
01818,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01828,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01833,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01836,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01858,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01860,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01876,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01877,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01880,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01882,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01883,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01888,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01896,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01898,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01907,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01908,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01910,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01918,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01919,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01921,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01928,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01929,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01951,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01952,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01963,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01972,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01988,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01989,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01997,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01999,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02005,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02007,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02009,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02013,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02015,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02016,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02018,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02020,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02038,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02039,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02050,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02057,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02068,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02096,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02097,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02099,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02128,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02145,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02155,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02157,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02158,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02162,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02171,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02172,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02186,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02192,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02196,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02202,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02208,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02218,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02228,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02232,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02233,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02238,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02252,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02255,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02259,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02268,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02269,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02273,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02276,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02282,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02285,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02291,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02313,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02314,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02315,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02318,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02319,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02328,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02331,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02333,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02338,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02343,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02356,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02357,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02359,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02367,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02378,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02380,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02382,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02386,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02388,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02400,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02402,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02410,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02419,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02423,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02431,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02432,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02460,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02465,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02473,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02476,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02477,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02493,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02498,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02506,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02507,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02510,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02517,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02525,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02533,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02555,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02556,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02562,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02565,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02570,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02575,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02577,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02579,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02580,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02582,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02583,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02586,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02587,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02588,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02589,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02590,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02591,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02595,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02600,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02601,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02602,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02603,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02607,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02609,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
02610,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
